year,month,day,hour,minute,second,evla,evlo,evdp
2020,8,9,0,1,46.65,35.47,-84.05,5.000.00
2020,8,9,4,43,55.52,37.21,-80.42,5.000.00
2020,8,9,4,44,19.90,37.64,-83.59,5.000.00
2020,8,9,5,57,28.15,36.11,-81.81,5.000.00
2020,8,9,5,57,49.97,36.33,-83.48,5.000.00
2020,8,9,5,58,0.19,36.02,-82.05,5.000.00
2020,8,9,6,2,40.76,36.02,-82.71,5.000.00
2020,8,9,6,7,11.42,37.21,-80.42,5.000.00
2020,8,9,6,7,39.02,36.02,-82.71,5.000.00
2020,8,9,12,8,11.27,36.33,-83.48,5.000.00
2020,8,9,12,8,48.60,34.54,-85.61,5.000.00
2020,8,9,22,46,35.44,40.23,-81.15,5.000.00